feature,gain_importance
f3,14.139507293701172
f4,8.407380104064941
f10,8.362333297729492
f11,6.83003568649292
f9,6.473578453063965
f7,6.161249160766602
f12,4.854503154754639
f8,4.033103942871094
f6,2.6061859130859375
f0,2.0570569038391113
f19,1.7294602394104004
f13,1.1325478553771973
f5,1.1291227340698242
f15,0.7789056301116943
f2,0.7497189044952393
f101,0.6766267418861389
f1,0.5845913290977478
f18,0.5714597702026367
f102,0.5489647388458252
f17,0.5251519083976746
f103,0.4343714714050293
f91,0.38208359479904175
